Agent Outbound Messages Send ID,Concierge QA Audit Scores Total Intent Identified Score Count,Concierge QA Audit Scores Total Necessary Reply Score Count,Concierge QA Audit Scores Total Correct Escalation Score Count,Concierge QA Audit Scores Total Double Text Score Count,Concierge QA Audit Scores Total Efficient Troubleshooting Score Count,Concierge QA Audit Scores Total Partial Reply Score Count,Concierge QA Audit Scores Total Company Profile Score Count,Concierge QA Audit Scores Total Conversation Score Count,Concierge QA Audit Scores Total Customer Profile Score Count,Concierge QA Audit Scores Total Notes Score Count,Concierge QA Audit Scores Total Promo Notes Score Count,Concierge QA Audit Scores Total Templates Score Count,Concierge QA Audit Scores Total Correct Grammar Score Count,Concierge QA Audit Scores Total No Repetition Score Count,Concierge QA Audit Scores Total No Typos Score Count,Concierge QA Audit Scores Total Understandable Message Score Count,Concierge QA Audit Scores Total Empathetic Score Count,Concierge QA Audit Scores Total Personalized Score Count,Concierge QA Audit Scores Total Preferred Tone Followed Score Count
019ca232-da22-44d2-f000-00010006acf3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
019bdcad-8948-4a8f-f000-0000a71a51f4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c24ec-8583-4920-f000-0000897fabdd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019b7bd0-a935-4c6f-f000-0000a5c3804b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d3c30-8f1c-4399-f000-00003ba882b6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c178b-02e5-48cd-f000-0000f6e1ab4e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d2627-edf2-49ce-f000-0000341a8ef4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bbdb6-2dae-46b4-f000-0000f34bf417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d2748-437e-43b7-f000-00003092f27b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019b9f57-5660-4823-f000-00000e54358a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c2925-5fa3-4eb2-f000-000023c88480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c8185-6478-4690-f000-00007c793ae3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bd8e1-06ec-45f1-f000-0000948740ef,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bc229-357f-4f4c-f000-0000f39b1552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c67f7-6b07-4a08-f000-0000b758c05f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c1684-50af-4645-f000-0000f5b194a9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bf720-5428-4b72-f000-0000f5af1bff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d1b14-159e-46dd-f000-0000d29eed1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d2bb6-181e-47e8-f000-00012a6cc226,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
019c3e78-e0fa-4552-f000-0000f7dd6ded,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c81b1-d82a-4ef8-f000-0000fc709165,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
019c365b-0788-4352-f000-0000366fa2a0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d36f2-b1b6-4cdf-f000-0000f42d7c94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bb8ab-5d8a-4d08-f000-0000101f8f7d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019cfdd0-a4d7-4266-f000-0000be0d0ed3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019b9b29-7b18-40ea-f000-0000ee02b60c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c75ff-9b79-4a40-f000-0000ee10528f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c2a9a-3b11-4879-f000-0000f7671a2d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c6800-1156-4bc4-f000-0000f12a17d9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019be685-7b57-4b10-f000-0000f52a573e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c9fc3-0eef-4a2c-f000-0000ffdbdec0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c95da-4645-45a7-f000-0000ff86bdc7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c3a0a-5b92-4547-f000-0000d84eb678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019be800-a7b1-4006-f000-000048a588f4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019ccac0-a66d-4877-f000-000100ba199a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c9182-42a6-4bb8-f000-0000b265de51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019cb1b0-92b6-440a-f000-0000ff6dd479,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c29fd-ae75-4ff4-f000-0000f408699a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c5eb2-a3f9-4cec-f000-0000fb889617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d2bd3-0fd2-4013-f000-00012d708859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bf723-5e29-4cb8-f000-0000f5a96dd0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019b8f83-af85-4122-f000-0000ecb420d0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
